side,x_mm,y_mm,w_mm,h_mm,row,col
L,300,600,1700,1000,0,0
L,2100,600,1700,1000,0,1
L,3900,600,1700,1000,0,2
L,5700,600,1700,1000,0,3
L,7500,600,1700,1000,0,4
L,9300,600,1700,1000,0,5
L,11100,600,1700,1000,0,6
L,12900,600,1700,1000,0,7
L,14700,600,1700,1000,0,8
L,16500,600,1700,1000,0,9
L,300,1700,1700,1000,1,0
L,2100,1700,1700,1000,1,1
L,3900,1700,1700,1000,1,2
L,5700,1700,1700,1000,1,3
L,7500,1700,1700,1000,1,4
L,9300,1700,1700,1000,1,5
L,11100,1700,1700,1000,1,6
L,12900,1700,1700,1000,1,7
L,14700,1700,1700,1000,1,8
L,16500,1700,1700,1000,1,9
L,300,2800,1700,1000,2,0
L,2100,2800,1700,1000,2,1
L,7500,2800,1700,1000,2,4
L,9300,2800,1700,1000,2,5
L,11100,2800,1700,1000,2,6
L,12900,2800,1700,1000,2,7
L,14700,2800,1700,1000,2,8
L,16500,2800,1700,1000,2,9
L,300,3900,1700,1000,3,0
L,2100,3900,1700,1000,3,1
L,7500,3900,1700,1000,3,4
L,9300,3900,1700,1000,3,5
L,11100,3900,1700,1000,3,6
L,12900,3900,1700,1000,3,7
L,14700,3900,1700,1000,3,8
L,16500,3900,1700,1000,3,9
L,18700,300,1000,1700,0,10
L,18700,2100,1000,1700,1,10
