side,x_mm,y_mm,w_mm,h_mm,row,col
R,300,600,1700,1000,0,0
R,2100,600,1700,1000,0,1
R,3900,600,1700,1000,0,2
R,5700,600,1700,1000,0,3
R,7500,600,1700,1000,0,4
R,11100,600,1700,1000,0,6
R,12900,600,1700,1000,0,7
R,14700,600,1700,1000,0,8
R,16500,600,1700,1000,0,9
R,300,1700,1700,1000,1,0
R,2100,1700,1700,1000,1,1
R,3900,1700,1700,1000,1,2
R,5700,1700,1700,1000,1,3
R,7500,1700,1700,1000,1,4
R,11100,1700,1700,1000,1,6
R,12900,1700,1700,1000,1,7
R,14700,1700,1700,1000,1,8
R,16500,1700,1700,1000,1,9
R,300,2800,1700,1000,2,0
R,2100,2800,1700,1000,2,1
R,3900,2800,1700,1000,2,2
R,5700,2800,1700,1000,2,3
R,7500,2800,1700,1000,2,4
R,9300,2800,1700,1000,2,5
R,11100,2800,1700,1000,2,6
R,12900,2800,1700,1000,2,7
R,14700,2800,1700,1000,2,8
R,16500,2800,1700,1000,2,9
R,300,3900,1700,1000,3,0
R,2100,3900,1700,1000,3,1
R,3900,3900,1700,1000,3,2
R,5700,3900,1700,1000,3,3
R,7500,3900,1700,1000,3,4
R,9300,3900,1700,1000,3,5
R,11100,3900,1700,1000,3,6
R,12900,3900,1700,1000,3,7
R,14700,3900,1700,1000,3,8
R,16500,3900,1700,1000,3,9
R,18700,300,1000,1700,0,10
R,18700,2100,1000,1700,1,10
