side,x_mm,y_mm,w_mm,h_mm,row,col
R,11850,1700,1700,1000,1,10
R,1050,3900,1700,1000,2,1
R,13650,3900,1700,1000,2,12
R,6450,1700,1700,1000,1,6
R,1050,2800,1700,1000,1,1
R,11850,3900,1700,1000,2,10
R,8250,3900,1700,1000,2,7
R,6450,600,1700,1000,0,6
R,10050,2800,1700,1000,1,9
R,11850,600,1700,1000,0,10
R,1050,600,1700,1000,0,1
R,15450,600,1700,1000,0,14
R,2850,2800,1700,1000,1,2
R,1050,1700,1700,1000,1,1
R,17250,1700,1700,1000,1,15
R,2850,600,1700,1000,0,2
R,8400,1000,1000,1700,0,7
R,11850,2800,1700,1000,1,10
R,10600,1000,1000,1700,0,9
R,6450,3900,1700,1000,2,6
R,2850,1700,1700,1000,1,2
R,4650,2800,1700,1000,1,4
R,15450,1700,1700,1000,1,14
R,8250,2800,1700,1000,1,7
R,4650,600,1700,1000,0,4
R,6450,2800,1700,1000,1,6
R,17200,2800,1000,1700,1,15
R,10050,3900,1700,1000,2,9
R,15450,2800,1700,1000,1,14
R,13650,2800,1700,1000,1,12
R,4650,3900,1700,1000,2,4
R,13900,1000,1000,1700,0,12
R,15450,3900,1700,1000,2,14
R,4650,1700,1700,1000,1,4
R,2850,3900,1700,1000,2,2
R,18300,2800,1000,1700,1,16
R,17250,600,1700,1000,0,15
