side,x_mm,y_mm,w_mm,h_mm,row,col
R,6450,600,1700,1000,0,6
R,1800,2800,1000,1700,1,1
R,2850,2800,1700,1000,1,2
R,11850,1700,1700,1000,1,10
R,13650,2800,1700,1000,1,12
R,2850,3900,1700,1000,2,2
R,6450,2800,1700,1000,1,6
R,11850,600,1700,1000,0,10
R,13650,3900,1700,1000,2,12
R,4000,1000,1000,1700,0,3
R,15450,3900,1700,1000,2,14
R,6450,3900,1700,1000,2,6
R,4650,2800,1700,1000,1,4
R,15450,600,1700,1000,0,14
R,13650,600,1700,1000,0,12
R,10050,2800,1700,1000,1,9
R,13650,1700,1700,1000,1,12
R,18300,2800,1000,1700,1,16
R,15450,2800,1700,1000,1,14
R,18300,1000,1000,1700,0,16
R,6450,1700,1700,1000,1,6
R,1050,1700,1700,1000,1,1
R,5100,1000,1000,1700,0,4
R,17200,1000,1000,1700,0,15
R,8400,1000,1000,1700,0,7
R,10600,1000,1000,1700,0,9
R,8250,3900,1700,1000,2,7
R,8250,2800,1700,1000,1,7
R,11850,2800,1700,1000,1,10
R,1050,600,1700,1000,0,1
R,15450,1700,1700,1000,1,14
R,700,2800,1000,1700,1,0
R,4650,3900,1700,1000,2,4
R,11850,3900,1700,1000,2,10
R,17200,2800,1000,1700,1,15
R,10050,3900,1700,1000,2,9
R,2900,1000,1000,1700,0,2
