side,x_mm,y_mm,w_mm,h_mm,row,col
L,1050,600,1700,1000,0,0
L,2850,600,1700,1000,0,1
L,4650,600,1700,1000,0,2
L,6450,600,1700,1000,0,3
L,8250,600,1700,1000,0,4
L,10050,600,1700,1000,0,5
L,11850,600,1700,1000,0,6
L,13650,600,1700,1000,0,7
L,15450,600,1700,1000,0,8
L,17250,600,1700,1000,0,9
L,1050,1700,1700,1000,1,0
L,2850,1700,1700,1000,1,1
L,4650,1700,1700,1000,1,2
L,6450,1700,1700,1000,1,3
L,8250,1700,1700,1000,1,4
L,10050,1700,1700,1000,1,5
L,11850,1700,1700,1000,1,6
L,13650,1700,1700,1000,1,7
L,15450,1700,1700,1000,1,8
L,17250,1700,1700,1000,1,9
L,1050,2800,1700,1000,2,0
L,2850,2800,1700,1000,2,1
L,6450,2800,1700,1000,2,3
L,8250,2800,1700,1000,2,4
L,10050,2800,1700,1000,2,5
L,11850,2800,1700,1000,2,6
L,13650,2800,1700,1000,2,7
L,15450,2800,1700,1000,2,8
L,17250,2800,1700,1000,2,9
L,1050,3900,1700,1000,3,0
L,2850,3900,1700,1000,3,1
L,6450,3900,1700,1000,3,3
L,8250,3900,1700,1000,3,4
L,10050,3900,1700,1000,3,5
L,11850,3900,1700,1000,3,6
L,13650,3900,1700,1000,3,7
L,15450,3900,1700,1000,3,8
L,17250,3900,1700,1000,3,9
