side,x_mm,y_mm,w_mm,h_mm,row,col
R,1050,600,1700,1000,0,0
R,2850,600,1700,1000,0,1
R,4650,600,1700,1000,0,2
R,6450,600,1700,1000,0,3
R,11850,600,1700,1000,0,6
R,13650,600,1700,1000,0,7
R,15450,600,1700,1000,0,8
R,17250,600,1700,1000,0,9
R,1050,1700,1700,1000,1,0
R,2850,1700,1700,1000,1,1
R,4650,1700,1700,1000,1,2
R,6450,1700,1700,1000,1,3
R,11850,1700,1700,1000,1,6
R,13650,1700,1700,1000,1,7
R,15450,1700,1700,1000,1,8
R,17250,1700,1700,1000,1,9
R,1050,2800,1700,1000,2,0
R,2850,2800,1700,1000,2,1
R,4650,2800,1700,1000,2,2
R,6450,2800,1700,1000,2,3
R,8250,2800,1700,1000,2,4
R,10050,2800,1700,1000,2,5
R,11850,2800,1700,1000,2,6
R,13650,2800,1700,1000,2,7
R,15450,2800,1700,1000,2,8
R,17250,2800,1700,1000,2,9
R,1050,3900,1700,1000,3,0
R,2850,3900,1700,1000,3,1
R,4650,3900,1700,1000,3,2
R,6450,3900,1700,1000,3,3
R,8250,3900,1700,1000,3,4
R,10050,3900,1700,1000,3,5
R,11850,3900,1700,1000,3,6
R,13650,3900,1700,1000,3,7
R,15450,3900,1700,1000,3,8
R,17250,3900,1700,1000,3,9
R,8250,300,1000,1700,0,4
R,10600,300,1000,1700,0,5
